id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat|lat|lon|uuid
217|Miguel de Cervantes|Don Quijote|23 de febrero de 2000|Pedro Halffter Caro|Teatro Real||Teatro Real de Madrid||40.4181323|-3.7102972|126a3996-c4d5-4a9a-aea6-195be5ccdb1d
218|Miguel de Cervantes|Don Quijote, una historia infinita |20 de octubre de 2000|Gianni Fransceschinni|Teatro Achiperre||Teatro Principal de Zamora||41.5045405|-5.7464134|8d3e3d0e-d80d-47e7-8185-16f963cb6226
219|Miguel de Cervantes|El retablo de Maese Pedro|15 de diciembre de 2000|Ferrer Ferran |Bambalina Titelles||Centro Social de Castelló de Rugat (Valencia)||38.9851553|-0.3081331|66493729-18a7-416d-9542-1fdb7e39281b
220|Miguel de Cervantes|Imagina libros|||????????||||||fa59b4ce-c050-4900-aeeb-116c886a6f10
221|Miguel de Cervantes|Don Quijote, El Quijote (fragmentos)|21 de mayo de 2000||Compañía Nacional de Teatro Clásico (CNTC)||Teatro de la Comedia||40.4155336|-3.7003923|47608be4-4785-44c5-b688-939475536ed1
222|Miguel de Cervantes|Maravillas de Cervantes. Entremeses, magias, habladurías, elecciones, celos, hipocresía y otras fiestas|30 de marzo de 2000|Joan Font|Compañía Nacional de Teatro Clásico (CNTC)||Teatro de la Comedia (Madrid)||40.4155336|-3.7003923|85156325-c3ef-4637-bd88-cc87b7b1c743
223|Miguel de Cervantes|Odón, Quijote|11 de septiembre de 2000|Joan Sors|Clownx|Fira de Teatre al Carrer|Espai Infantil de Tàrrega (Lleida)||41.647055|1.1256542|38afe13a-5af1-4154-b331-2d9296a648b7
224|Miguel de Cervantes|Quijote|17 de marzo de 2000|Severiano García|Delirium Teatro||La Granja de Santa Cruz de Tenerife||28.3841497|-16.4578617|ac4167af-9f27-4588-8633-ac20a4bf7dd3
225|Miguel de Cervantes|Rinkonete y Kortadillo|8 de enero de 2000|Antonio Saura|Alquibla Teatro||Teatro Municipal de San Pedro de Pinatar (Murcia)||37.8371549|-0.7853051|d7da340c-aed6-4315-92dd-7a5553b75df7
226|Miguel de Cervantes|Caprichos de Cervantes|6 de marzo de 2001||Teatro Galileo |Feira do Teatro de Galicia|Teatro Galileo (Santiago de Compostela)||40.4338993|-3.7105739|cfa9959b-19da-4580-b8f2-17b746ec65f0
227|Miguel de Cervantes|Cervantes en vivo|16 de junio de 2001||Chácena Teatro|Ciclo Clásicos en Alcalá|Hospital de Antezana, Alcalá de Henares (Madrid)||40.4822815|-3.3669328|abf27244-e179-44f3-8cf9-270d984b75ac
228|Miguel de Cervantes|Don Quijote 2000|6 de junio de 2001|Juan J. Martín Uceda|Escuela Municipal de Teatro de Roquetas de Mar||Teatro Apolo de Almería||36.8406025|-2.4618673|4113843a-6a86-4d14-a574-88fa32a4e60b
229|Miguel de Cervantes|Don Quijote, Don Quijote de la Mancha |10 de noviembre de 2001||Anade|Feria de Teatro de Castilla-La Mancha|Pabellón Calle Numancia de Toledo||39.9778688|-3.956167|36d77bd1-329d-410e-a926-f49b179ff4f1
230|Miguel de Cervantes|Don Quijote el caballero|12 de octubre de 2001|Antonio Laguna y César Gómez|Caja Negra|Muestra Provincial de Teatro|Auditorio Torres López de Tomelloso (Ciudad Real)||39.1566918|-3.0208853|f5d50670-f42c-4a61-b5c8-15ac95923621
231|Miguel de Cervantes|El hombre que tenía vacíos los aposentos de la cabeza|10 de noviembre de 2001|Jesús Arbués|Producciones Viridiana, Teatro Inestable||Teatro Marín de Teruel ||40.3410295|-1.1064898|2e6b4381-345a-4fc2-86b1-d9330700e95f
232|Miguel de Cervantes|El canto del cisne|5 de mayo de 2001|Fernando Vegal|Teatro de los Buenos Aires||Teatro Alhambra de Granada||37.1714804|-3.5913397|5e7c58fd-4208-4c3e-b0e2-7e936a7ac52b
233|Miguel de Cervantes|La guarda cuidadosa|16 de junio de 2001|Carlos Mochales|Chácena Teatro||Hospital de Antezana, Alcalá de Henares (Madrid)||40.4822815|-3.3669328|6340e603-7c27-413f-b2da-e31affd76b2c
234|Miguel de Cervantes|Retablo de las maravillas|20 de junio de 2001|Miguel Serrano|Instante-Zambra||Corral de Carbón de Granada||37.1735728|-3.5992742|6fc5f745-6d05-413b-8df7-5550ce7636e2
235|Miguel de Cervantes|Aventuras de don Quijote y Sancho, Don Quijote|8 de octubre de 2002|Ana María Boudeguer|Asociación cultural La Bicicleta||Sala Sanpol de Madrid||40.4239339|-3.7270082|ef5faec1-9b35-4a27-bda5-478b277630b2
236|Miguel de Cervantes|Delirio de don Quijote y Sancho Panza, Don Quijote||María Elena Diardes|La Recua Teatro||||||378b6328-2c73-4079-8a3b-4489c1257e79
237|Miguel de Cervantes|Don Quijote|26 de enero de 2002|Carlo Boso|Teatro del Finikito||Teatro La Galera de Alcalá de Henares (Madrid)||40.4801682|-3.3615234|33210d03-184b-40e3-8a9d-fd736d9bb91c
238|Miguel de Cervantes|Don Quijote, Don Quijote de la Mancha ||Quim Peñart |Teatro de los Caminos||||||bcb42329-791d-4fa1-9f19-00a2274e37c8
239|Miguel de Cervantes|Don Quijote, Don Quijote en las bodas de Camacho||Pep Oriol |L´Òpera de Tres Rals||||||c96128de-350c-4786-9cd3-3033c9dc34be
240|Miguel de Cervantes|El juez de los divorcios; El retablo de las maravillas; El viejo celoso; La cueva de Salamanca; Los malcasados; Retablo cervantino||Juan Pedro de Aguilar|Compañía Nacional de Teatro Clásico (CNTC)||||||f5a6f203-c5fc-42b5-ac9c-7c901859e563
241|Miguel de Cervantes|La Gitanilla||Rafael Ruiz|Zascandil||||||5d2a513c-7877-419f-a500-97da7fa1805b
242|Miguel de Cervantes|Rinconete y Cortadillo|6 de noviembre de 2002|Juan Manuel Álvarez|Titirimundi Teatro||Teatro Gutierre de Alba, Alcalá de Guadaira (Sevilla)||37.335144|-5.8476081|5254d7d9-6047-4a76-8dad-bb5339ed7ed3
243|Miguel de Cervantes|Cómicos y maleantes||Jesús Arbúes|Producciones Viridiana||||||1ff0c582-3b50-42d8-90c6-76e5b853f942
244|Miguel de Cervantes|Con una sola mano|2 de mayo de 2003|Hernán Gené de Lucca|Extra-Vagante Teatro||||||aeaeb50d-380a-4d0d-bf8f-a42737e3b2c1
245|Miguel de Cervantes|Cueva de Salamanca |13 de octubre de 2003|Val Núñez y José Manuel Burgos|Maru-Jasp||Teatro La Galera de Alcalá de Henares (Madrid)||40.4801682|-3.3615234|40fe972e-6ec6-4d7e-a19f-b5ec29f17f4e
246|Miguel de Cervantes|Don Quijote|12 de diciembre de 2003|Ángel Gutierrez|Teatro de Cámara Chéjov||Teatro de Cámara Chéjov (Madrid)||40.4251657|-3.6920414|08224968-8517-4dc8-869e-87fe54c8f70f
247|Miguel de Cervantes|Don Quijote y la búsqueda de Marcela, Don Quijote|27 de septiembre de 2003|Rubén Castro Ilizaliturri|Firewalk Theatre||Mostra Rialles de Cerdanyola del Vallès||41.5688572|2.0843829|4ca7d6a9-ba3d-4f09-9820-c9f3634d6b25
248|Miguel de Cervantes|El molino|20 de septiembre de 2003|Fátima Colomo|Camaleón Teatro||||||e92510d4-cfd2-4bd6-9c82-8afd5bdf41fd
249|Miguel de Cervantes|El retablo de las maravillas|||Perséfone Teatro||||||67629102-5ac2-4379-928c-e769eccfe195
250|Miguel de Cervantes|El sereno|13 de octubre de 2003|Val Núñez y José Manuel Burgos|Maru-Jasp||Teatro La Galera de Alcalá de Henares (Madrid)||40.4801682|-3.3615234|59f68ec2-75e3-41a7-90eb-f7964ebb5eb1
251|Miguel de Cervantes|Quijote, Don Quijote|4 de octubre de 2003|Santiago Sánchez|L`Om -Imprebís||Teatro Lope de Vega de Alcalá de Henares (Madrid)||40.3157075|-3.5328628|a698e849-9ff8-4cd4-b158-e55368cd65c3
252|Miguel de Cervantes|Rinconete y Cortadillo||Toni Sánchez|Zascandil||||||3fd4e9fa-cfdf-4986-86ee-eb97d6f30de8
253|Miguel de Cervantes|Señor Quijote mío, Don Quijote||Girardo Guerrero|Perro Teatro, A. C||||||210f01cd-397d-4f5e-a70d-021ce292327a
254|Miguel de Cervantes|Don Quijote (Leyenda para cinco voces), Don Quijote|6 de julio de 2004|Felipe B. Pedraza Jiménez|Rapsodas|Festival de Teatro Clásico|Corral de Comedias de Almagro||38.8884394|-3.7119119|3d9c74ec-b831-47c4-9bd6-fa7d74a36905
255|Miguel de Cervantes|El juez de los divorcios ||Domingo Ortega |Grupo de Teatro de la Universidad Carlos III||||||d22ce31a-35fc-4d0b-bbe5-73bf7c3d7f5a
256|Miguel de Cervantes|El retablo de las maravillas ||Domingo Ortega |Grupo de Teatro de la Universidad Carlos III||||||f2813173-a0b6-47b1-b535-4165bae97c66
257|Miguel de Cervantes|El viejo celoso|23 de diciembre de 2004|Etelvino Vázquez|Teatro del Norte||Centro Cultural Cjastur de la Colegiata del San Juan Bautista de Gijón (Asturias)||43.545571|-5.6638903|bd52eb37-b3fd-4a16-b80f-b6a07d04c66b
258|Miguel de Cervantes|El viejo celoso|5 de noviembre de 2004|Manuel Canseco|Asociación de Autores de Teatro|V Salón Internacional del Libro Teatral|Círculo de Bellas Artes||40.4183042|-3.6965333|5395e6a2-3786-4dd8-8f56-e6152963a144
259|Miguel de Cervantes|Exemplaridades cervantinas|23 de enero de 2004|Andrés Cienfuegos|La Quimera||Teatro Bergidu, de Ponferrada (León)||42.5465503|-6.5891852|150670b7-0f29-479b-a6f4-086df946c1e6
260|Miguel de Cervantes|La cueva de Salamanca||J. A. Raynaud|Perséfone||||||c6d68d0a-69c7-4a8e-9bff-459d8dc70508
261|Miguel de Cervantes|La edad de oro, Don Quijote|19 de junio de 2004|Eusebio Lázaro|Compañía Eusebio Lázaro|Festival Clásicos en Alcalá|Corral de Zapateros de Alcalá de Henares (Madrid)||40.4822922|-3.3645504|2eed95c6-4579-4b0e-8104-bbd248d64102
262|Miguel de Cervantes|Don Quijote, La pasión según don Quijote||Emilio Hernández|Sociedad Estatal de Connmemoraciones Culturales, Armonía||Teatro de La Abadía||40.4353022|-3.7094283|4b5ce2a1-ec02-44b2-add5-3049695a6c0a
263|Miguel de Cervantes|Laberinto de amor||Juan Pastor|Guindalera Escena Abierta||||||b87ad798-ba28-478c-a689-b48011e5499f
264|Miguel de Cervantes|Morir cuerdo y vivir loco|13 de enero de 2004|Fernando Fernán Gómez|Centro Dramático de Aragón y Centro Dramático Nacional ||Teatro Principal de Zaragoza||41.6518556|-0.8793213|a5c20e20-d85d-4664-b855-b86bee512e7c
265|Miguel de Cervantes|Pedro de Urdemalas; Pedro, the Great Pretender  |1 de septiembre de 2004 en Inglaterra. 30 de octubre de 2004 en España|Mike Alfreds |Royal Shakespeare Company|Festival de Otoño|En Stratfor-upon-Avon (Inglaterra). Teatro Español de Madrid (España)||46.2651809|-2.7532047|8ade2d6a-e6c4-4bcd-87a4-733aae1784b8
266|Miguel de Cervantes|El retablo de las maravillas. Cinco variaciones sobre un tema de Cervantes|9 de enero de 2004|Alberto Boadella|Els Joglars||Teatro Lope de Vega (Sevilla)||37.3784059|-5.990964|d372cefa-f622-4438-b88d-efd52d84c846
267|Miguel de Cervantes|Cervantes entre palos||Jesús Salgado|Teatro del Duende||||||2948e8df-9c49-412a-8e45-bf7b8d3962c6
268|Miguel de Cervantes|Cervantes insólito|13 de mayo de 2005|María Laura González y Tomás Sendarrubias|Argos Teatro||Teatro Salón Cervantes de Alcalá de Henares (Madrid)||40.4834571|-3.3661106|17514ac9-76ea-47b8-8ae2-923193314150
269|Miguel de Cervantes|Curioso retablo|21 de mayo de 2005|Luis Alonso|Teatro Independiente Alcalaíno TIA, Asociación Cultural||Teatro Salón Cervantes de Alcalá de Henares (Madrid)||40.4834571|-3.3661106|e314c5ff-134c-4dd5-8a5f-5381604797bc
270|Miguel de Cervantes|Don Quijote||Juan Manuel Álvarez|Titirimundi Teatro||||||8595296d-c6d8-4d29-8991-32da0f58b3d5
271|Miguel de Cervantes|Don Quijote ||Jon Sarasti|Galápagos Cálido||||||58a67fe2-432b-4fcb-b969-96aec854a26f
272|Miguel de Cervantes|Don Quixote, Don Quijote|17 de junio de 2005|John Mowat|Companhia do Chapitô||Corral de Zapateros de Alcalá de Henares (Madrid)||40.4822922|-3.3645504|51292222-462a-4678-904e-3dbabb6a6f78
273|Miguel de Cervantes|El caballero de la triste figura ????|20 de marzo de 2005|Marcelo Rocca|El Retablo de la Ventana ||Teatro Juan Bravo (Segovia)||40.9504826|-4.1235423|62490237-67a9-4c84-bbd2-3235a3677208
274|Miguel de Cervantes|El caballeru de la Murnia Figura ????||Inma Rodríguez y Toño Caamaño|Producciones Nun Tris||||||ea93674f-9a7a-4196-ba68-e51211674768
275|Miguel de Cervantes|El casamiento engañoso. El coloquio de los perros||Pepe Ortega|Solo y Cía||||||63ba1ef2-797e-405a-b7ef-7b211cd864fe
276|Miguel de Cervantes|El de la triste figura ????||Juan Margallo|Uroc Teatro||||||97ff1c0c-3920-4d2c-9673-5c266c538fa4
277|Miguel de Cervantes|El desposeído; The Unpossessed||Stacy Klein|Double Edge Theatre||||||b19fbf97-c5ee-43d6-88a5-82028069fd77
278|Miguel de Cervantes|Don Quijote, El Quijote|||La Candelaria ||||||b78055e1-59cf-436a-b9f0-aae698fef9d4
279|Miguel de Cervantes|El viaje del Parnaso|7 de julio de 2005|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)|Festival Teatro Clásico|Corral de Comedias de Almagro (Ciudad Real)||38.8884394|-3.7119119|d64cfc79-b007-4145-908e-f8b410f282cd
280|Miguel de Cervantes|El retablo de las maravillas|||La Compañía de la ETR||||||1147fe5c-92e9-4516-add5-efc0a29b0697
281|Miguel de Cervantes|El viejo celoso; Entremeses; La cueva de Salamanca; La guarda cuidadosa||Andrés Beladíez|La Barraca||||||243db0af-5488-4147-8b33-b6eb6673348b
282|Miguel de Cervantes|El viejo celoso|||Duelos y Quebrantos||||||56e52bf0-591a-469d-bbc9-8f9db302bad4
283|Miguel de Cervantes|El viejo celoso; La compañía de Saavedra||Asunción Mieres|Aula de Teatro de la UEX|XVI Festival de Teatro Clásico de Cáceres|||||3f487aba-6c4a-4992-857f-47ef88f0191e
284|Miguel de Cervantes|El viejo celoso; La cueva de Salamanca||Miguel Serrano|Teatro para un Instante||Corral del Carbón (Granada)||37.1750505|-3.5981838|779d1f47-d2c2-4d6e-82af-ec5a2afef857
285|Miguel de Cervantes|En un lugar de Sevilla|23 de abril de 2005|José Luis Losa|Edeteatro||Teatro Centro Virgen de los Reyes (Sevilla)||37.40453|-5.9851479|349dc0cb-b41d-497e-834f-7fcd4e1520c0
286|Miguel de Cervantes|Entre pícaros y cómicos|12 de agosto de 2005|Antonoi Barrios|Teatro Par||Casa de las Campanas (Córdoba)||37.8823697|-4.7696905|01b46e78-7b1b-4262-b031-d89067286801
287|Miguel de Cervantes|Entremeses|||Alharaca, Grupo de Teatro||||||0422f438-d004-4e63-84a7-062aedf2214e
288|Miguel de Cervantes|Entremeses: El viejo celoso, La cueva de Salamanca, Los habladores|||La Locandiera||||||aecaf665-f4e1-4a80-bf5d-438d482c7ecd
289|Miguel de Cervantes|Impresión de don Quijote|25 de febrero de 2005|Francisco Plaza|Grupo Sona; Teatro Negro de Praga||Teatro Palacio Valdés de Avilés (Asturias)||43.555218|-5.920094|880f4492-78e8-4cfa-b615-1e23e3f0e5f5
290|Miguel de Cervantes|La columna de El Manco ||Antonia Gómez|Varuma ||||||75c2544d-31df-43ac-940b-96e86cfd8521
291|Miguel de Cervantes|La cueva de Salamanca; La guarda cuidadosa||Arturo Castro|Teatro Margen||||||9456407e-f3f9-4ad1-ab19-fc6b412806c8
292|Miguel de Cervantes|La entretenida |2 de febrero|Helena Pimenta|Compañía Nacional de Teatro Clásico (CNTC)||Teatro Pavón (Madrid)||40.410031|-3.7061552|4de21556-215b-4637-aa36-b2e1cbaf0229
293|Miguel de Cervantes|La Gitanilla |23 de abril de 2005|Paco Macià|Compañía Ferroviaria de Artes Escénicas|Festival Cervantino de Ceutí|Murcia||37.9917074|-1.1394671|c84a5f3e-8feb-4709-a495-eacf15da21bc
294|Miguel de Cervantes|La gracia que no quiso darme el cielo; Miguel de Cervantes, poesía escogida||Joaquín Vida|Joaquín Vida||||||a3dd4d53-3219-4acc-bd02-111fe340a7f0
295|Miguel de Cervantes|La Numancia||Javier Juárez|Kull d´Sac||||||f911d52d-408b-4367-b4ee-9e0b72d7dbcc
296|Miguel de Cervantes|Las hazañas del caballero de La Mancha||Pascual Varo|El Carromato||||||2b1dd448-8c76-44c3-aee6-2930b2436498
297|Miguel de Cervantes|Los habladores|||Jara del Centro Extremeño de Alcalá de Henares. Grupo Teatro La||||||746aedd4-2f75-448b-8ec6-37f754fd88e8
298|Miguel de Cervantes|Mi amigo Don Quijote||Claudia Massotto Franco|Arte Fusión Títeres||||||b55b6bef-845b-4160-a9b5-628f57e7a276
299|Miguel de Cervantes|Don Quijote, Pasajes del Quijote||José Antonio Adamuz|Almocafre||||||2eeb0fb8-34ef-43d3-b620-513b9e2086dc
300|Miguel de Cervantes|¡Quijote!||Cora Herrendorf|Teatro Núcleo||||||d17688fd-b3c9-4e2a-a00a-7a35dedc2467
301|Miguel de Cervantes|Quijote||Marcelo Díaz|Teloncillo, Achiperre||||||fda462d8-e60a-4b55-b152-3131a94b05a6
302|Miguel de Cervantes|Quijote, las mil aventuras|17 de mayo de 2005|Fulgencio Valares |Atakama Teatro||Teatro López de Ayala, Badajoz (Extremadura) ||38.8762766|-6.9723722|ee60c7db-eaf8-45cd-b0e9-0cc1d22757e4
303|Miguel de Cervantes|Quijote, un hidalgo de La Mancha; Quijote. El hidalgo de la Mancha||Wolf Helem y José Vijuesca|Teatro Clásico Madrid Hidra Lerna||||||f23f5aad-a7f0-4aad-a0d8-9b93b7893d1b
304|Miguel de Cervantes|Retablo de maese Pedro o de cómo Ginesillo de Pasamonte conoció a don Quijote y lo que le aconteció|3 de diciembre de 2005|Paco Úbeda|La Tirita de Teatro||||||1a96c02c-1ea4-4e98-86e8-cb9f8313c1d7
305|Miguel de Cervantes|Sancho Panza, el musical|9 de abril de 2005|José Luis Moral|Arte&Ocio||Teatro Nuevo Apolo (Madrid)||40.412189|-3.7033341|ecb5b369-08f5-4458-98ba-89e3342a9703
306|Miguel de Cervantes|Sancho Panza, gobernador de la ínsula Barataria|||Grupo de Teatro Punto y Aparte||||||7b248646-ef6f-41d5-b657-35698580e5ba
307|Miguel de Cervantes|Teatro con clase||Ignacio Almenar|Delirium Teatro||||||b4154533-a28e-4177-881d-4c22d1614d80
308|Miguel de Cervantes|Entremeses||Andreu A. Segura|Rafel Oliver Producciones||||||ace2c5c8-68cd-42f6-b50f-593acc3dd220
309|Miguel de Cervantes|Entremeses ||Domingo Ortega|Grupo de Teatro de las Universidad Carlos III||||||62062144-a8bd-48bd-87da-265aa81818d3
310|Miguel de Cervantes|Entremeses: La cueva de Salamanca, Los habladores y La guarda cuidadosa||Domingo Ortega|Grupo de Teatro de la Universidad Carlos III||||||eb4a5ea5-64c3-42b4-9164-55332e44cfcc
311|Miguel de Cervantes|Don Quixote, Don Quijote|26 de octubre de 2007|Josep Galindo|West Yorkshire Playhouse; Mom|Festival de Otoño|Teatro Madrid||40.4258763|-3.6924628|b3027e1b-bb4f-470c-a6b3-dd667d2ba3db
312|Miguel de Cervantes|El viejo celoso||Margarita Rodríguez |Grupo Cultural Xana||||||e03a3977-8d12-4b6f-88ef-1da89cc09bbc
313|Miguel de Cervantes|Numancia||Ken Kinguuji|Ksec Act||||||bd954a4a-85a7-42ec-a12f-d10882e743c6
314|Miguel de Cervantes|Rinconete y Cortadillo en Tormes||María Barragñan|Esphera Teatro||||||8c2c3ce0-5fef-4883-b62c-05bd42ab885e
315|Miguel de Cervantes|El licenciado Vidriera |8 de noviembre de 2009|Carlos Martín|Teatro del Temple||Centro Cívico Teodoro Sánchez Punter (Zaragoza)||41.6378108|-0.8728851|37fe8a04-ee29-47c7-86e6-b8d842bfa7a0
316|Miguel de Cervantes|Entremeses variados: La cueva de Salamanca; La guarda cuidadosa; Los habladores||dOMINGO Ortega|Sociedad Estatal de Servicios Culturales. SECC; Grupo de Teatro de la Universidad Carlos III||||||e850b8da-d284-43b0-8727-76b8ad072427
317|Miguel de Cervantes|Quijote||Simeón Spivak|Teatro de la Juventud de Fontanka||||||e4c9d3d5-302d-41fe-af80-44dcd185f39a
318|Miguel de Cervantes|Rinconete y Cortadillo; El licenciado Vidriera||Pepe Ortega|Ítaca Teatro||||||b4810de0-da8d-48de-ac19-ed6bb2b5062e
319|Miguel de Cervantes|Abrevia T|16 de marzo de 2010|Victor Manuel Dogar|Producciones Dogar||Teatro Bellas Artes (Madrid)||40.4183333|-3.6963889|37ee731c-cfb0-4742-98b1-38bbcd024313
320|Miguel de Cervantes|El coloquio de los perros|9 de octubre de 2010|Fefa Noia|Teatro de la Abadía|Semana Cervantina|Corral de Comedias, Alcalá de Henares (Madrid)||40.4822922|-3.3645504|b669931c-c223-4320-ac89-240ff4ba9f1f
321|Miguel de Cervantes|El imaginario de Cervantes|11 de septiembre de 2010|Sonia Sebastián|Teatro de Cámara Cervantes|Noche en Blanco|Sociedad Cervantina (Madrid)||40.411408|-3.6970031|2bbdecc5-c1e7-40fd-a580-7980b0f0564d
322|Miguel de Cervantes|El viejo celoso; El vizcaíno fingido; Entremeses de Cervantes; La cueva de Salamanca||Ernesto de Diego|Corrales de Comedias Teatro||||||1e757fce-fe8a-428b-9681-0410983ded7a
323|Miguel de Cervantes|Don Quijote||Meng Jinghui|Compañía Nacional de Teatro de China ||||||44a53cd1-079f-455f-88d6-dd4a1a9be9c7
324|Miguel de Cervantes|El coloquio de los perros|21 de enero de 2011|Francisco Negro|Morfeo Teatro Clásico||Teatro Principal de Burgos (Burgos)||42.3406276|-3.6998874|41070807-3d1e-4e36-8aa0-c63d5ee7a4df
325|Miguel de Cervantes|Entremeses: El vizcaíno fingido, El viejo celoso y La cueva de Salamanca||Alejandro Arestegui|Secuencia 3 Artes y Comunicació||||||ad008868-9058-4de2-a2c8-450982997f77
326|Miguel de Cervantes|Numancia |9 de abril de 2011|José Luis Arellano García|Joven Compañía de Teatro de Parla||Teatro de la Casa de la Juventud de Parla (Madrid)||40.23242|-3.7614235|c172d835-25bf-4903-8336-ea6b2b4e336b
327|Miguel de Cervantes|Cipión de Berganza (incluye los entremeses: El viejo celoso, El vizcaíno fingido y Los habladores)||Carlos Fernández de Castro|Tiempolírico||||||6c5ab773-d192-4840-9b9f-776a5a8e9c48
328|Miguel de Cervantes|Don Quijote|13 de diciembre de 2012|Ángel Gutierrez|Teatro de Cámara Chéjov|Festival UNIR Alumni|Sala Gonzalo de Berceo de Logroño (La Rioja)||42.464221|-2.4425784|1dd9c16f-ba31-48ec-99d0-3ab133e578ff
329|Miguel de Cervantes|El coloquio de los perros||Emilio del Valle|Producciones Inconstantes||||||2fcff17c-d6bb-49ff-a788-bd1f9d54d042
330|Miguel de Cervantes|El viejo celoso||Miguel Fresneda|Cambaluz Teatro||||||4c61526c-57e7-4737-a1ed-1d96eeefa008
331|Miguel de Cervantes|Entremeses|9 de noviembre de 2012|Del Colectivo|Zamamur Producciones ||Gran Teatro de Cáceres (Extremadura)||39.4731946|-6.3754623|18c4697f-a78d-42ae-9309-cc1e5b6240e4
332|Miguel de Cervantes|Gaudeamus||Jaime Santos|La Chana Teatro||||||1920bac0-5eb1-4068-905d-2d1061ba2536
333|Miguel de Cervantes|Don Quijote, Yo soy don Quijote, Yo soy Don Quijote de La Mancha|5 de julio de 2012|Luis Bermejo|Metrópolis Teatro|Festival de Teatro Clásico de Almagro|Antigua Universidad Renacentista de Almagro (Ciudad Real)||38.8915937|-3.7148261|623410e6-156e-464c-89b4-0fa39d3372b6
334|Miguel de Cervantes|El coloquio de los perros |26 de marzo de 2013|Ramón Fontserè|CNTC, Els Joglars||Teatro Pavón de Madrid||40.410031|-3.7061552|22fb1c19-1bb0-4401-a71f-d1c99f3a48ca
335|Miguel de Cervantes|El coloquio de los perros||Tagore González y David Orrico|Amanece Teatro||||||458e0da2-4b08-4417-ab83-131505f39962
336|Miguel de Cervantes|Don Quijote de la Mancha, Don Quijote|7 de abril de 2014|José Luis Gómez|Centro Dramático Nacional, CDN||Teatro Pavón de Madrid||40.410031|-3.7061552|7f010e32-458e-42fa-9a72-44b91eca619e
337|Miguel de Cervantes|El coloquio de los perros|17 de junio de 2014|Ma Zhenghong y Alejandro González Puche|Laboratorio Escénico Univalle|Festival Internacional de Teatro Clásico|Teatro Municipal de Almagro (Ciudad Real)||38.89053|-3.7119068|18d32a5b-7533-4340-979e-cbd6ac867456
338|Miguel de Cervantes|Entremeses: La cueva de Salamanca, El viejo celoso y El retablo de las maravillas||José Luis Gómez|Teatro de la Abadía|Festival Clásicos en Alcalá|||||bf25b88d-af40-4827-8bf9-b176b49cf32d
339|Miguel de Cervantes|Don Quijote, Las locas historias de Don Quijote de La Mancha|22 de diciembre de 2014|Eva Rodríguez|Universalmix teatro||Centro Cultural La Vaguada de Madrid||40.4794927|-3.709135|e01c0d55-5389-4ca8-8a37-fed9822685f2
340|Miguel de Cervantes|El cerco de Numancia|19 de agosto de 2015|Paco Carrillo|Verbo Producciones|Festival Internacional de Teatro Clásico|Teatro Romano de Mérida (Badajoz)||38.915402|-6.3389273|8ba57739-5600-4ca8-9809-d579a5008cda
341|Miguel de Cervantes|Don Quijote, El sueño del Quijote|18 de octubre de 2015|César Deneken|El Jinete Verde||Teatro Villamarta de Jerez de la Frontera (Cádiz)||36.6828855|-6.1352393|90e2c2ca-ad35-43ab-81c6-c1c1cfaa9a89
342|Miguel de Cervantes|Ingenius gentleman don Quixote of La Mancha||Ian Nicholson|Little Soldier Productions||||||cb26decd-b96a-43c8-9919-2695f5f386f5
343|Miguel de Cervantes|La española inglesa. Las dos doncellas; Novelas ejemplares||Gonzala Martín Scherman|Factoría Teatro S. L||||||eb1cf175-27d9-48de-8107-803526306a27
344|Miguel de Cervantes|Quijote, el vértigo de Sancho; Kixote;|9 de enero de 2015|José Ramón Martínez|Markeliñe||Zornotza Aretoa de Amorebieta-Etxano, Vizcaya (País Vasco)||43.2198301|-2.7319023|738cf6bc-8a94-47f3-bcce-6120a85e4135
345|Miguel de Cervantes|Quijote aventuras|14 de noviembre de 2015|Severiano García Noda|Delirium Teatro||Auditorio Capitol de Tacoronte, Sanra Cruz de Tenerife (Islas Canarias)||28.4776101|-16.4147621|bd67c147-b4b7-4e37-8d58-5201a4b7e28d
346|Miguel de Cervantes|El coloquio de los perros|26 de julio de 2016|Gastón Borges|Lacoz|Festival Almagro Off|Teatro La Veleta de Almagro (Ciudad Real)||38.8994072|-3.7079747|3ae963c0-57f8-48cd-87fc-7ac511aaf8aa
347|Miguel de Cervantes|El retablo de las maravillas|30 de enero de 2016|Francisco Negro|Morfeo Teatro Clásico||Teatro Principal de Burgos (Castilla y León)||42.3406276|-3.6998874|3edb349e-33bd-4289-9142-94189a04a4fa
348|Miguel de Cervantes|El viejo celoso||Adriano Iurissevich|Compañía Reymala||||||ea65b4af-3ce8-437f-9858-195e571f56a9
349|Miguel de Cervantes|La conquista de Jerusalén||Juan Sanz|Antiqua Escena||||||5ec8309f-eef5-48c2-8c43-a7adc9365229
350|Miguel de Cervantes|La gitanilla|26 de octubre de 2016|Paco Maciá|Arena Teatro; Compañía Ferroviaria|Festiva Medieval|Elche (Alicante)||38.2665289|-0.6896821|61416022-b340-4101-80c2-244cf196daf8
351|Miguel de Cervantes|Numancia|16 de abril de 2016|Juan Carlos Pérez de la Fuente|Teatro Español||Teatro Español (Madrid)||40.4149459|-3.7001863|20275e7f-5000-4fa7-aba7-c4beaa64b617
